id,title,candidate_onet_occupation,candidate_soc,classification,proposed_source_url,current_source_url,reason,suggested_soc_not_applied,suggested_occupation,primary_industry
02d8f354-3720-4653-9794-047cd53adfb1,Quality Assurance Analyst (Lab),Software Quality Assurance Analysts and Testers,15-1253.00,FALSE MATCH,,https://www.onetonline.org/link/summary/19-4011.00,"Lab sample testing, not software QA; description is about instruments and scientific rigour",19-4099.01,Quality Control Analysts,Science & Research
02fa8c04-94e9-47b4-9e49-48cfc7e5c4a4,Emergency Medical Technician,Emergency Medical Technicians,29-2042.00,CONFIRMED,https://www.onetonline.org/link/summary/29-2042.00,https://www.bls.gov/ooh/healthcare-support/emergency-medical-technicians-and-paramedics.htm,,,,Healthcare & Medicine
0815d925-a3b4-4bec-8f72-ea2a7fbc2448,Tutor (Private Mathematics),Tutors,25-3041.00,CONFIRMED,https://www.onetonline.org/link/summary/25-3041.00,https://www.bls.gov/ooh/education-training-and-library/tutors-and-teachers.html,,,,Education & Coaching
093d0ab1-2c1e-4154-8f2f-84d1c657b599,Clinical Laboratory Technologist,Medical and Clinical Laboratory Technologists,29-2011.00,CONFIRMED,https://www.onetonline.org/link/summary/29-2011.00,https://www.bls.gov/ooh/healthcare-occupations/clinical-laboratory-technologists-and-technicians.htm,,,,Science & Research
0b6fcfdb-169e-462d-b227-434fb3591853,K-12 Science Teacher,"Computer Science Teachers, Postsecondary",25-1021.00,FALSE MATCH,,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,K-12 science teaching matched a postsecondary Computer Science code,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Education & Coaching
0d1fe05b-3845-4197-917f-da94cc7841ed,Video Editor (Freelance),Film and Video Editors,27-4032.00,CONFIRMED,https://www.onetonline.org/link/summary/27-4032.00,https://www.onetonline.org/link/summary/27-4008.00,,,,Media & Journalism
0d7dc7de-4aff-4742-a1bd-4dfb16441021,AI Trainer (Machine Learning),Athletic Trainers,29-9091.00,FALSE MATCH,,https://www.onetonline.org/link/summary/15-1257.00,Labels data and tunes ML models; matched Athletic Trainers on the word 'trainer',15-2051.00,Data Scientists,Tech & Engineering
0f4714e5-e12a-4b6a-8b99-3cf6a916e796,Physicist (Research),Physicists,19-2012.00,CONFIRMED,https://www.onetonline.org/link/summary/19-2012.00,https://www.bls.gov/ooh/life-physical-social-science/physicists-and-astronomers.htm,,,,Science & Research
10fc9ed0-3b28-45d7-b0cc-2007f05d800a,Cardiologist,Cardiologists,29-1212.00,CONFIRMED,https://www.onetonline.org/link/summary/29-1212.00,https://www.bls.gov/ooh/healthcare-and-social-assistance/physicians-and-surgeons.htm,,,,Science & Research
1239ef70-78de-4645-881f-06b03f04c3f6,Video Editor (Media),Film and Video Editors,27-4032.00,CONFIRMED,https://www.onetonline.org/link/summary/27-4032.00,https://www.onetonline.org/link/summary/27-4008.00,,,,Media & Journalism
136eccda-0e27-475f-b14f-fbffdd65ff27,Quality Assurance Analyst (Science),Software Quality Assurance Analysts and Testers,15-1253.00,FALSE MATCH,,https://www.onetonline.org/link/summary/19-4011.02,"Validates scientific experiments and data, not software",19-4099.01,Quality Control Analysts,Science & Research
149b4016-44a1-4a69-bd39-5182c7539f15,Video Editor (Documentary),Film and Video Editors,27-4032.00,CONFIRMED,https://www.onetonline.org/link/summary/27-4032.00,https://www.onetonline.org/link/summary/27-4008.00,,,,Media & Journalism
17bafec3-65f7-4b3a-b76d-3ac03b6e131a,Sports Writer,Gambling and Sports Book Writers and Runners,39-3012.00,FALSE MATCH,,https://www.bls.gov/ooh/media-and-communication/reporters-and-correspondents.htm,"Sports journalism matched Gambling and Sports Book Writers, a betting-desk role",27-3023.00,"News Analysts, Reporters, and Journalists",Media & Journalism
19f22dbf-8971-45ee-a1a3-7f3ab2448aed,Music Teacher,"Art, Drama, and Music Teachers, Postsecondary",25-1121.00,STILL UNCERTAIN,,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,"Candidate is the Postsecondary music code; description does not state the level, and K-12 or private instruction are equally likely",,,Education & Coaching
1a8cf047-9f2b-4414-b579-4c6f35b88496,Chemistry Teacher (High School),"Chemistry Teachers, Postsecondary",25-1052.00,FALSE MATCH,,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,Explicitly high school; candidate is the Postsecondary chemistry code,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Science & Research
1d708039-13a1-4627-a864-a0af76b2bfb7,Special Education Teacher (Inclusive Design),"Preschool Teachers, Except Special Education",25-2011.00,FALSE MATCH,,https://www.bls.gov/ooh/education-and-training/special-education-teachers.html,"Candidate is Preschool Teachers, Except Special Education — the code explicitly excludes this job",25-2059.00,"Special Education Teachers, All Other",Education & Coaching
1dac1327-4bb6-4ae9-af80-3b6cc82e3e0d,System Administrator,Network and Computer Systems Administrators,15-1244.00,CONFIRMED,https://www.onetonline.org/link/summary/15-1244.00,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects-and-administrators.htm,,,,Tech & Engineering
