id,title,primary_industry,source_url,note,candidate_soc,candidate_onet_title,candidate_tier,candidate_coverage,created_at
00609ddc-e454-4627-8540-b504d5a269ad,Language Immersion Teacher,Education & Coaching,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,"bls.gov OOH slug ""high-school-teachers"" matches no O*NET occupation title",25-1123.00,"English Language and Literature Teachers, Postsecondary",strong,0.67,2026-07-19T03:25:46.096737+00:00
00751f56-4d4b-4955-98fb-a35025db1d8c,Pharmacologist,Healthcare & Medicine,https://www.bls.gov/ooh/life-physical-and-social-science/pharmacologists-and-toxicologists.htm,"bls.gov OOH slug ""pharmacologists-and-toxicologists"" matches no O*NET occupation title",,,none,,2026-04-22T02:52:32.086589+00:00
01a01cd2-d74c-4992-be47-9034e3ff8f2c,Water Conservation Specialist,Gaming & Esports,https://www.onetonline.org/link/summary/19-4091.00,"cited SOC 19-4091.00 is not in the O*NET taxonomy, and neither is its base",11-9121.02,Water Resource Specialists,strong,0.67,2026-04-22T02:52:32.496342+00:00
02000c7d-ced9-4cb7-9b3f-f7d1cc58859a,Outdoor Adventure Educator,Education & Coaching,https://www.onetonline.org/link/summary/27-3121.00,"cited SOC 27-3121.00 is not in the O*NET taxonomy, and neither is its base",25-9021.00,Farm and Home Management Educators,weak,0.33,2026-06-23T04:03:08.154362+00:00
020c46e2-8786-43ad-b05e-4fa90531024a,Resort Operations Manager,Hospitality & Events,https://www.bls.gov/ooh/management/general-managers-and-top-executives.htm,"bls.gov OOH slug ""general-managers-and-top-executives"" matches no O*NET occupation title",11-1021.00,General and Operations Managers,strong,0.67,2026-05-13T02:06:48.124305+00:00
025e63dc-5be5-4d65-af31-2d717ef50ead,Tourist Information Center Manager,Hospitality & Events,https://www.onetonline.org/link/summary/41-2081.00,"cited SOC 41-2081.00 is not in the O*NET taxonomy, and neither is its base",11-3021.00,Computer and Information Systems Managers,strong,0.50,2026-07-02T04:04:04.846982+00:00
02b3e759-d22e-4a12-a6cf-c3901424b1be,Indie Game Developer (Solo),Entrepreneurship,https://www.onetonline.org/link/summary/15-1256.00,"cited SOC 15-1256.00 is not in the O*NET taxonomy, and neither is its base",15-1252.00,Software Developers,weak,0.33,2026-06-13T02:14:20.904725+00:00
02bf33a1-2cf1-4a2e-bb26-5ef73a1eeab6,Digital Course Creator (Standalone),Entrepreneurship,https://www.onetonline.org/link/summary/27-3022.00,"cited SOC 27-3022.00 is not in the O*NET taxonomy, and neither is its base",15-1255.00,Web and Digital Interface Designers,weak,0.33,2026-04-26T06:30:26.048522+00:00
02d8f354-3720-4653-9794-047cd53adfb1,Quality Assurance Analyst (Lab),Science & Research,https://www.onetonline.org/link/summary/19-4011.00,"cited SOC 19-4011.00 is not in the O*NET taxonomy, and neither is its base",15-1253.00,Software Quality Assurance Analysts and Testers,full,1.00,2026-06-26T04:14:59.008247+00:00
02fa8c04-94e9-47b4-9e49-48cfc7e5c4a4,Emergency Medical Technician,Healthcare & Medicine,https://www.bls.gov/ooh/healthcare-support/emergency-medical-technicians-and-paramedics.htm,"bls.gov OOH slug ""emergency-medical-technicians-and-paramedics"" matches no O*NET occupation title",29-2042.00,Emergency Medical Technicians,full,1.00,2026-05-05T01:54:58.128336+00:00
030c1cf0-2e24-4ce3-b289-175ae319a4c3,Podcast Host (News),Media & Journalism,https://www.bls.gov/ooh/media-and-communication/radio-and-television-broadcasters.htm,"bls.gov OOH slug ""radio-and-television-broadcasters"" matches no O*NET occupation title",35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",strong,0.50,2026-06-08T02:39:18.792926+00:00
031036e9-53fa-4eb5-b7ea-f9913d6baa86,Custom Manufacturing Startup Owner,Entrepreneurship,https://www.bls.gov/ooh/management/self-employed-workers.htm,"bls.gov OOH slug ""self-employed-workers"" matches no O*NET occupation title",13-1041.08,Customs Brokers,weak,0.25,2026-07-23T03:25:20.020136+00:00
03782725-3510-44af-adaa-87f5a4109d17,AI Content Generation Entrepreneur,Entrepreneurship,https://www.bls.gov/ooh/management/self-employed-workers.htm,"bls.gov OOH slug ""self-employed-workers"" matches no O*NET occupation title",,,none,,2026-04-23T06:30:34.351042+00:00
03da94b3-8d37-4a09-b0ad-f8352a3ca0fe,Convention & Visitors Bureau Director,Gaming & Esports,https://www.onetonline.org/link/summary/11-2031.00,"cited SOC 11-2031.00 is not in the O*NET taxonomy, and neither is its base",11-9161.00,Emergency Management Directors,weak,0.25,2026-04-22T02:52:33.087307+00:00
0448a695-91bc-4185-bfd8-1710bb979479,Craft Beverages Educator,Education & Coaching,https://www.onetonline.org/link/summary/25-1191.00,"cited SOC 25-1191.00 is not in the O*NET taxonomy, and neither is its base",25-9021.00,Farm and Home Management Educators,weak,0.33,2026-08-07T02:58:45.426406+00:00
04b72835-4538-4c55-87c0-ddc733ccedce,Music Theory Teacher,Education & Coaching,https://www.bls.gov/ooh/education-and-training/high-school-teachers.htm,"bls.gov OOH slug ""high-school-teachers"" matches no O*NET occupation title",25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",strong,0.67,2026-06-07T02:35:26.41857+00:00
0500e5dc-c054-461b-82c4-1a6e7ac605db,Content Creator (YouTube),Marketing & Communications,https://www.bls.gov/ooh/media-and-communication/multimedia-artists-and-animators.htm,"bls.gov OOH slug ""multimedia-artists-and-animators"" matches no O*NET occupation title",,,none,,2026-04-22T02:52:33.675655+00:00
05084d6a-c12e-4457-806a-b262e18ae4e4,Convention and Visitors Bureau Director,Hospitality & Events,https://www.onetonline.org/link/summary/11-2031.00,"cited SOC 11-2031.00 is not in the O*NET taxonomy, and neither is its base",11-9161.00,Emergency Management Directors,weak,0.25,2026-05-12T02:01:23.268159+00:00
05131b48-232d-40b8-a585-9c044bf1ef02,Certified Nurse Midwife,Healthcare & Medicine,https://www.bls.gov/ooh/healthcare-occupations/nurse-midwives-and-nurse-anesthetists.htm,"bls.gov OOH slug ""nurse-midwives-and-nurse-anesthetists"" matches no O*NET occupation title",29-1141.00,Registered Nurses,weak,0.33,2026-05-07T01:56:35.549365+00:00
0545b087-bbd4-4e44-92fb-049a0b4213e9,Niche E-commerce Founder,Marketing & Communications,https://www.bls.gov/ooh/management/general-managers-and-top-executives.htm,"bls.gov OOH slug ""general-managers-and-top-executives"" matches no O*NET occupation title",,,none,,2026-04-22T02:52:29.422718+00:00
05a10a54-2ed4-484e-9709-7df6bf6585b4,Title Company Manager,Law & Government,https://www.bls.gov/ooh/business-and-financial-operations/property-appraisers-and-assessors.htm,"bls.gov OOH slug ""property-appraisers-and-assessors"" matches no O*NET occupation title",11-1021.00,General and Operations Managers,weak,0.33,2026-04-22T02:52:30.082186+00:00
05a1f0e0-58f4-4433-ae46-dade34894c3e,Digital Video Editor,Media & Journalism,https://www.onetonline.org/link/summary/27-4008.00,"cited SOC 27-4008.00 is not in the O*NET taxonomy, and neither is its base",27-4032.00,Film and Video Editors,strong,0.67,2026-07-04T03:40:44.950559+00:00
05c5d0ad-a95d-4ac8-a23c-fefdf793a1ac,Otolaryngologist,Social Impact & Nonprofit,https://www.bls.gov/ooh/healthcare-practitioners-and-technical-occupations/physicians-and-surgeons.htm,"bls.gov OOH slug ""physicians-and-surgeons"" matches no O*NET occupation title",,,none,,2026-04-22T02:52:30.47108+00:00
05f4bee2-85c3-445c-af41-d7085bd1d365,Sports Medicine Specialist,Sports & Fitness,https://www.bls.gov/ooh/healthcare-and-technical/physicians-and-surgeons.htm,"bls.gov OOH slug ""physicians-and-surgeons"" matches no O*NET occupation title",29-1229.06,Sports Medicine Physicians,strong,0.67,2026-04-22T02:52:29.422718+00:00
0669af5a-4717-43d0-a977-2c9750311c2d,Obstacle Course Race Director,Sports & Fitness,https://www.bls.gov/ooh/entertainment-and-sports/sports-competitors-and-related-workers.htm,"bls.gov OOH slug ""sports-competitors-and-related-workers"" matches no O*NET occupation title",11-9161.00,Emergency Management Directors,weak,0.25,2026-04-27T07:59:37.713825+00:00
06dc2f64-a510-46a8-80bc-3704e8df2e0d,Virtual Coaching Platform Founder,Entrepreneurship,https://www.bls.gov/ooh/business-and-financial-operations/entrepreneurs-and-self-employed-workers.htm,"bls.gov OOH slug ""entrepreneurs-and-self-employed-workers"" matches no O*NET occupation title",,,none,,2026-07-08T03:23:47.418131+00:00
0736e980-0821-4147-b40c-39e4f74944ab,Museum Sound Designer,Arts & Performance,https://www.onetonline.org/link/summary/27-2014.00,"cited SOC 27-2014.00 is not in the O*NET taxonomy, and neither is its base",15-1255.00,Web and Digital Interface Designers,weak,0.33,2026-08-08T01:59:31.700995+00:00
0743fbb1-a9c5-464d-98a5-5a0b5200ecec,Adult Education Instructor,Education & Coaching,https://www.bls.gov/ooh/education-and-training/adult-literacy-and-high-school-equivalency-diploma-teachers.htm,"bls.gov OOH slug ""adult-literacy-and-high-school-equivalency-diploma-teachers"" matches no O*NET occupation title",11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",weak,0.33,2026-07-20T03:39:40.209743+00:00
07d61c35-4120-4878-a3f0-bb2027fef0d8,SaaS Productivity App Founder,Entrepreneurship,https://www.bls.gov/ooh/management/entrepreneurs-and-self-employed-workers.htm,"bls.gov OOH slug ""entrepreneurs-and-self-employed-workers"" matches no O*NET occupation title",,,none,,2026-05-05T01:54:35.890921+00:00
07ff5018-2f4d-4697-a9ef-b3b9d70f593e,Textile Innovator (Lab-Grown Fibers),Fashion & Beauty,https://www.onetonline.org/link/summary/19-4011.00,"cited SOC 19-4011.00 is not in the O*NET taxonomy, and neither is its base",51-6021.00,"Pressers, Textile, Garment, and Related Materials",strong,0.50,2026-05-14T02:10:58.797164+00:00
0803774a-0830-4f9e-8c18-18fb8e4b56ec,Commercial Insurance Adjuster,Healthcare & Medicine,https://www.bls.gov/ooh/business-and-financial-operations/claims-adjusters-appraisers-examiners-and-investigators.htm,"bls.gov OOH slug ""claims-adjusters-appraisers-examiners-and-investigators"" matches no O*NET occupation title",13-1031.00,"Claims Adjusters, Examiners, and Investigators",weak,0.33,2026-04-22T02:52:33.477982+00:00
0815d925-a3b4-4bec-8f72-ea2a7fbc2448,Tutor (Private Mathematics),Education & Coaching,https://www.bls.gov/ooh/education-training-and-library/tutors-and-teachers.html,source_url is not an O*NET or BLS OOH link: https://www.bls.gov/ooh/education-training-and-library/tutors-and-teachers.html,25-3041.00,Tutors,full,1.00,2026-08-06T03:12:45.482633+00:00
0821c40a-3c4f-42e9-831d-830104132957,Fitness Technology Developer,Sports & Fitness,https://www.onetonline.org/link/summary/15-1256.00,"cited SOC 15-1256.00 is not in the O*NET taxonomy, and neither is its base",11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,weak,0.33,2026-05-23T02:04:13.051475+00:00
08571bc2-35d3-48ca-a015-80e87e72d1c1,Eco-Friendly Product Founder,Entrepreneurship,https://www.bls.gov/ooh/management/entrepreneurs-and-self-employed-workers.htm,"bls.gov OOH slug ""entrepreneurs-and-self-employed-workers"" matches no O*NET occupation title",11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,weak,0.33,2026-06-29T04:28:43.320081+00:00
