id,title,classification,verified_by,soc_code,soc_resolved_via,onet_occupation_title,job_zone,oes_employment,onet,careeronestop,bls_ooh,bls_oes,flags,note,primary_industry,source_url,created_at
001582fb-371c-465b-b0b8-e94b0a4f9c55,Forest Manager,VERIFIED,O*NET+CareerOneStop+BLS OES,45-4011.00,title_exact,Forest and Conservation Workers,,6050,yes,yes,no,yes,,,Environment & Sustainability,https://www.bls.gov/ooh/natural-resources-construction/forest-and-conservation-workers.htm,2026-04-22T02:52:30.082186+00:00
001cd984-f629-4ae4-b10d-6fad8c3f7132,UX Research Manager,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-1161.00,onet_url,Market Research Analysts and Marketing Specialists,4,899580,yes,yes,yes,yes,"industry: O*NET SOC 13-1161.00 maps to Marketing & Communications, row has Tech & Engineering",,Tech & Engineering,https://www.onetonline.org/link/summary/13-1161.00,2026-07-09T03:52:26.703142+00:00
001fffee-300a-408f-843a-341ac8e42d4b,Shared Workspace Founder,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,11-1011.00,onet_url,Chief Executives,5,204350,yes,yes,yes,yes,,,Entrepreneurship,https://www.onetonline.org/link/summary/11-1011.00,2026-07-19T03:25:59.509597+00:00
002fe500-30e8-4033-8dac-9148809a4b07,Busking Producer,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2042.00,onet_base,Musicians and Singers,4,36180,yes,yes,yes,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Arts & Performance,https://www.onetonline.org/link/summary/27-2042.01,2026-07-24T03:20:02.373704+00:00
003c1621-293c-464f-a504-81653794e5dd,Session Musician (Recording Studio),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2042.00,onet_url,Musicians and Singers,4,36180,yes,yes,yes,yes,,,Arts & Performance,https://www.onetonline.org/link/summary/27-2042.00,2026-04-22T02:52:34.239097+00:00
003f6e4c-3133-4153-9f6b-6f4fedfff6e7,Risk Analyst (Commodities),VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-2051.00,onet_url,Financial and Investment Analysts,4,361980,yes,yes,yes,yes,,,Business & Finance,https://www.onetonline.org/link/summary/13-2051.00,2026-05-25T02:31:35.710507+00:00
0040efa8-b719-44e0-97dd-23bf26b457dc,Guest Experience Analyst,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,13-1161.00,onet_url,Market Research Analysts and Marketing Specialists,4,899580,yes,yes,yes,yes,"industry: O*NET SOC 13-1161.00 maps to Marketing & Communications, row has Business & Finance; requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Business & Finance,https://www.onetonline.org/link/summary/13-1161.00,2026-04-22T02:52:31.845128+00:00
0047aa8a-3846-45e0-80b4-64c8472f37b4,Live Event Streaming Director,VERIFIED BUT FLAGGED,O*NET+CareerOneStop+BLS OOH+BLS OES,27-2012.00,onet_url,Producers and Directors,4,143120,yes,yes,yes,yes,"requirements: text implies level 1, O*NET Job Zone 4 implies 3",,Arts & Performance,https://www.onetonline.org/link/summary/27-2012.00,2026-06-12T02:32:31.881917+00:00
0049c3f4-709b-4603-95c9-da2e22ccc698,Urban Air Mobility Coordinator,VERIFIED,O*NET+CareerOneStop+BLS OES,53-2011.00,onet_url,"Airline Pilots, Copilots, and Flight Engineers",4,103560,yes,yes,no,yes,,,Aviation & Transportation,https://www.onetonline.org/link/summary/53-2011.00,2026-08-13T02:25:12.120847+00:00
004abf80-e209-4d02-b12b-8027f8671b15,Accounts Payable Manager,VERIFIED,O*NET+CareerOneStop+BLS OOH+BLS OES,43-3031.00,onet_url,"Bookkeeping, Accounting, and Auditing Clerks",3,1373680,yes,yes,yes,yes,,,Business & Finance,https://www.onetonline.org/link/summary/43-3031.00,2026-04-22T02:52:34.239097+00:00
