id,name,old_source_url,new_source_url,soc_code,occupation,confidence
003c1621-293c-464f-a504-81653794e5dd,Session Musician (Recording Studio),https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,https://www.onetonline.org/link/summary/27-2042.00,27-2042.00,Musicians and Singers,auto
004abf80-e209-4d02-b12b-8027f8671b15,Accounts Payable Manager,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,https://www.onetonline.org/link/summary/43-3031.00,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",auto
009d9f85-84b9-4386-be96-c19106168abd,Grant Journalist,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,https://www.onetonline.org/link/summary/27-3023.00,27-3023.00,"News Analysts, Reporters, and Journalists",hand-verified
00cb3107-023f-491b-aefe-c22a5902559c,Food Service Director (Healthcare),https://www.bls.gov/ooh/management/food-service-managers.htm,https://www.onetonline.org/link/summary/11-9051.00,11-9051.00,Food Service Managers,auto
00cf794c-9cbb-4b61-8692-78f384b8f86a,Long-Form Editor,https://www.bls.gov/ooh/media-and-communication/editors.htm,https://www.onetonline.org/link/summary/27-3041.00,27-3041.00,Editors,auto
00def351-0e8f-406d-af66-42050345c764,Defense Attorney,https://www.bls.gov/ooh/legal/lawyers.htm,https://www.onetonline.org/link/summary/23-1011.00,23-1011.00,Lawyers,auto
01635b04-ee65-4226-ad82-d63b678f1e96,Sustainability-Focused Interior Designer,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,https://www.onetonline.org/link/summary/27-1025.00,27-1025.00,Interior Designers,auto
01998b5e-b01c-4317-9eff-f0f7428f5b03,Chemist (Chemical Research),https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,https://www.onetonline.org/link/summary/19-2031.00,19-2031.00,Chemists,auto
01f56853-22ef-432d-8baa-989ea161be47,Copy Editor,https://www.bls.gov/ooh/media-and-communication/editors.htm,https://www.onetonline.org/link/summary/27-3041.00,27-3041.00,Editors,auto
01fe9c88-fc5b-47f9-99c6-49adb38591d8,Biodiversity Consultant,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,https://www.onetonline.org/link/summary/19-2041.00,19-2041.00,"Environmental Scientists and Specialists, Including Health",auto
02286f51-7976-4598-84f6-7ee89a140fcb,Food and Beverage Director,https://www.bls.gov/ooh/management/food-service-managers.htm,https://www.onetonline.org/link/summary/11-9051.00,11-9051.00,Food Service Managers,auto
