id,name,primary_industry,secondary_industries,created_at,flagged_dup_requirements,dup_shared_count,flagged_industry_mismatch,mismatch_tier,mismatch_keyword,expected_any_of
004e473d-0260-4a99-bc09-9a20c62d37c9,Franchise Architect,Entrepreneurship,"Business & Finance,Education & Coaching",2026-07-28T02:56:25.323996+00:00,no,,yes,HIGH,Architect,Architecture & Urban Planning / Tech & Engineering / Design & Creative
00ef9938-9c88-4c9c-9197-093e59b9bcea,Costume Designer,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",2026-04-22T02:52:30.47108+00:00,no,,yes,LOW,Actor,Arts & Performance / Media & Journalism
017a7366-d430-4a11-a0b3-b0cebf4b8b73,Media Accessibility Auditor,Media & Journalism,"Tech & Engineering,Design & Creative",2026-08-12T02:27:46.857274+00:00,no,,yes,HIGH,Auditor,Business & Finance / Law & Government
01820c71-7052-4f4d-a81b-7e8709d76c94,Adaptive Infrastructure Planner,Architecture & Urban Planning,"Science & Research,Environment & Sustainability",2026-08-18T01:35:12.760028+00:00,no,,yes,LOW,Systems,Tech & Engineering / Cybersecurity / Supply Chain & Operations
01afc0f0-44a7-47aa-b696-b49b7398769b,Nonprofit Finance Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",2026-04-22T02:52:34.239097+00:00,no,,yes,HIGH,Nonprofit,Social Impact & Nonprofit / Business & Finance
02d6755b-6c1d-4b8c-bbaf-8189af076ad7,Color Grading Specialist (Textiles),Fashion & Beauty,"Design & Creative,Science & Research",2026-05-30T02:02:38.956261+00:00,no,,yes,LOW,Software,Tech & Engineering / Gaming & Esports / Cybersecurity
03da94b3-8d37-4a09-b0ad-f8352a3ca0fe,Convention & Visitors Bureau Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",2026-04-22T02:52:33.087307+00:00,no,,yes,LOW,Hotel,Hospitality & Events
05c5d0ad-a95d-4ac8-a23c-fefdf793a1ac,Otolaryngologist,Social Impact & Nonprofit,"Education & Coaching,Law & Government",2026-04-22T02:52:30.47108+00:00,no,,yes,LOW,Patient,Healthcare & Medicine
05dcd0b1-d261-4394-a182-bd6f7eb36738,Cultural Events Programmer,Arts & Performance,"Hospitality & Events,Business & Finance",2026-07-08T03:23:01.696225+00:00,no,,yes,HIGH,Programmer,Tech & Engineering / Gaming & Esports
0669af5a-4717-43d0-a977-2c9750311c2d,Obstacle Course Race Director,Sports & Fitness,"Hospitality & Events,Entrepreneurship",2026-04-27T07:59:37.713825+00:00,no,,yes,LOW,Logistics,Supply Chain & Operations / Aviation & Transportation
06dc2f64-a510-46a8-80bc-3704e8df2e0d,Virtual Coaching Platform Founder,Entrepreneurship,"Education & Coaching,Tech & Engineering",2026-07-08T03:23:47.418131+00:00,no,,yes,LOW,Fitness,Sports & Fitness / Healthcare & Medicine
07b558c9-4d57-41f5-adbd-e43747f6da00,Hairstylist (Specialty Cuts),Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",2026-04-22T02:52:33.477982+00:00,no,,yes,HIGH,Hairstylist,Fashion & Beauty
0842dca2-07be-4928-bc9d-e02a3558576d,Wedding Planner (Destination Events),Hospitality & Events,"Design & Creative,Entrepreneurship",2026-04-25T06:07:10.87779+00:00,no,,yes,LOW,Logistics,Supply Chain & Operations / Aviation & Transportation
08571bc2-35d3-48ca-a015-80e87e72d1c1,Eco-Friendly Product Founder,Entrepreneurship,"Environment & Sustainability,Design & Creative",2026-06-29T04:28:43.320081+00:00,no,,yes,LOW,Supply Chain,Supply Chain & Operations
