shared_count,normalized_opening,id,name,primary_industry,created_at,requirements
32,bachelor s degree journalism communications related field preferred,0534148f-e8f3-46c7-afc2-72c3443ac4fd,Fact-Checking Journalist,Science & Research,2026-04-22T02:52:33.295118+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research skills and familiarity with fact-checking tools essential."
32,bachelor s degree journalism communications related field preferred,089946f2-1cb8-460a-a01a-4e0c64b1e8e0,Data Journalism Reporter,Media & Journalism,2026-04-22T02:52:32.271017+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong skills in data analysis tools, spreadsheets, and basic coding are increasingly essential."
32,bachelor s degree journalism communications related field preferred,13ebd229-b98d-4bf2-a9a8-549fc3a807b7,Grant Reporter,Media & Journalism,2026-07-25T03:17:34.979676+00:00,"A bachelor's degree in journalism, communications, or related field is preferred; strong research and writing skills plus experience with grant databases and public records are essential."
32,bachelor s degree journalism communications related field preferred,147e7358-d162-4c0c-ae72-e942d62684eb,Fact Checker (News Outlet),Media & Journalism,2026-07-20T03:41:38.226712+00:00,"A bachelor's degree in journalism, communications, or related field is preferred; strong research and writing skills plus portfolio experience are essential."
32,bachelor s degree journalism communications related field preferred,185d0df4-690d-4714-ab75-fbd2931ea2e4,Fact-Checker (Journalism),Media & Journalism,2026-04-24T06:31:35.496483+00:00,"A bachelor's degree in journalism, communications, or a related field is preferred; strong research skills and familiarity with media literacy tools are essential."
32,bachelor s degree journalism communications related field preferred,1b063107-f239-4886-887e-d05c2371ada3,Fact-Checker (News Organizations),Media & Journalism,2026-05-29T02:08:48.759724+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research abilities and familiarity with media literacy tools are essential."
32,bachelor s degree journalism communications related field preferred,1b4dad65-5095-48eb-8e0b-5738ebb999c5,Social Media Manager (News Org),Media & Journalism,2026-06-01T02:40:01.187632+00:00,"A bachelor's degree in journalism, communications, or related field is preferred; strong social media skills, portfolio of digital work, and familiarity with analytics platforms are essential."
32,bachelor s degree journalism communications related field preferred,2698cb8c-74a1-4e56-b5f9-e3b6828692b7,Media Fact-Checker,Media & Journalism,2026-05-10T01:55:10.911323+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research skills and familiarity with fact-checking databases and media literacy essential."
32,bachelor s degree journalism communications related field preferred,34d7cb46-99a5-4585-89a9-1454c71d707f,Fact Checker (Publications),Media & Journalism,2026-05-08T02:05:24.893741+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research skills and familiarity with media literacy tools essential."
32,bachelor s degree journalism communications related field preferred,3acc4929-1860-49ef-8731-1f4ad3d03683,News Producer (Digital Media),Media & Journalism,2026-05-28T02:02:03.014119+00:00,"A bachelor's degree in journalism, communications, or related field is preferred; strong digital skills and a portfolio demonstrating multimedia storytelling ability are essential."
32,bachelor s degree journalism communications related field preferred,3ee3f5aa-132d-4748-83c2-59168a49854e,Fact-Check Researcher,Media & Journalism,2026-06-10T02:17:18.945044+00:00,"A bachelor's degree in journalism, communications, or a related field is preferred; strong research skills and familiarity with media literacy tools are essential."
32,bachelor s degree journalism communications related field preferred,47f9cfe6-6932-474f-a8e6-037bde005e9c,Fact Checker (Investigative),Media & Journalism,2026-05-20T02:12:40.511828+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research, writing, and digital media skills essential; fact-checking certifications available through organizations like IFCN."
32,bachelor s degree journalism communications related field preferred,4f7f8a63-bbc3-4a0d-812c-3895b461fe9a,Radio News Director,Media & Journalism,2026-06-22T02:44:18.220352+00:00,"A bachelor's degree in journalism, communications, or related field is preferred; strong portfolio of reporting work and familiarity with news production software are essential."
32,bachelor s degree journalism communications related field preferred,5361b60a-4745-452e-9902-371ed341fbe9,News Producer,Science & Research,2026-04-22T02:52:31.845128+00:00,"A bachelor's degree in journalism, communications, or a related field is preferred; internships and a strong portfolio demonstrating news judgment are often more valuable than formal credentials."
32,bachelor s degree journalism communications related field preferred,5b60d640-1248-43cb-b3e1-6f7a3382f866,Feature Writer,Science & Research,2026-04-22T02:52:31.392704+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong portfolio and writing samples often required instead of formal credentials."
32,bachelor s degree journalism communications related field preferred,64d89d52-941c-44a9-b64a-fe53e99dcf8f,Fact-Checker (News Organization),Media & Journalism,2026-04-27T08:01:32.648986+00:00,"A bachelor's degree in journalism, communications, or related field is often preferred; strong research, writing, and source-verification skills are essential."
32,bachelor s degree journalism communications related field preferred,659867c8-c08f-4b17-a66a-e1d904b34a75,Fact Checker (Publication),Media & Journalism,2026-07-11T03:19:13.768994+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research skills and familiarity with fact-checking tools essential."
32,bachelor s degree journalism communications related field preferred,6ca8d046-55d2-4e08-bcc4-3a87911cab8f,Fact-Checker,Hospitality & Events,2026-04-22T02:52:31.660242+00:00,"Bachelor's degree in journalism, communications, or related field preferred; certifications from fact-checking organizations or journalism programs are advantageous but not always required."
32,bachelor s degree journalism communications related field preferred,7035d63d-fa55-4059-b482-29f447b196ea,Fact Checker,Science & Research,2026-04-22T02:52:31.20659+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong research skills and knowledge of media literacy tools are essential."
32,bachelor s degree journalism communications related field preferred,7f5965ea-fe07-48ee-bb74-2cbe41fbab03,Investigative Journalist (Data),Media & Journalism,2026-08-01T03:29:17.339809+00:00,"Bachelor's degree in journalism, communications, or related field preferred; strong skills in SQL, spreadsheets, and data visualization tools; portfolio of investigative work demonstrating research and reporting ability."
