career,industry,listed_salary,floor_k,bls_occupation,bls_p10_k,shortfall_k
Cardiothoracic Surgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Neuroradiologist,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Neurosurgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Orthopaedic Surgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Orthopedic Sports Medicine Physician,Sports & Fitness,$0–$500k+,0,Physicians and surgeons,100,100
Orthopedic Surgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Pediatric Surgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Radiologist,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Surgeon,Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Surgeon (Orthopedic),Healthcare & Medicine,$0–$500k+,0,Physicians and surgeons,100,100
Anesthesiologist,Healthcare & Medicine,$30k–$45k,30,Physicians and surgeons,100,70
Cardiac Surgeon,Healthcare & Medicine,$30k–$45k,30,Physicians and surgeons,100,70
Psychiatrist,Healthcare & Medicine,$30k–$45k,30,Physicians and surgeons,100,70
Urologic Surgeon,Healthcare & Medicine,$30k–$45k,30,Physicians and surgeons,100,70
Anesthesiology Technician,Healthcare & Medicine,$45k–$70k,45,Physicians and surgeons,100,55
Bootstrapped Software Developer,Entrepreneurship,$20k–$150k,20,Software developers,71,51
Aerospace Engineer,Aviation & Transportation,$30k–$45k,30,Aerospace engineers,75,45
Deputy District Attorney,Law & Government,$30k–$45k,30,Lawyers,73,43
Real Estate Transaction Attorney,Law & Government,$30k–$45k,30,Lawyers,73,43
Biomedical Software Engineer,Tech & Engineering,$30k–$45k,30,Software developers,71,41
Quantum Software Developer,Healthcare & Medicine,$30k–$45k,30,Software developers,71,41
Veterinary Anesthesiologist,Healthcare & Medicine,$60k–$95k,60,Physicians and surgeons,100,40
Affiliate Marketing Manager,Marketing & Communications,$45k–$85k,45,Marketing managers,80,35
Affiliate Marketing Manager (Influencer Brand),Entrepreneurship,$45k–$85k,45,Marketing managers,80,35
Dental Hygienist,Supply Chain & Operations,$30k–$45k,30,Dental hygienists,65,35
Destination Marketing Manager,Hospitality & Events,$45k–$75k,45,Marketing managers,80,35
Event Marketing Manager,Hospitality & Events,$45k–$75k,45,Marketing managers,80,35
Experiential Marketing Manager,Hospitality & Events,$45k–$75k,45,Marketing managers,80,35
Nonprofit Financial Manager,Social Impact & Nonprofit,$45k–$75k,45,Financial managers,80,35
Nonprofit Marketing Manager,Gaming & Esports,$45k–$75k,45,Marketing managers,80,35
Physical Therapist Assistant,Healthcare & Medicine,$35k–$55k,35,Physical therapists,70,35
Registered Nurse,Healthcare & Medicine,$30k–$45k,30,Registered nurses,63,33
Hotel Digital Marketing Manager,Marketing & Communications,$50k–$95k,50,Marketing managers,80,30
Beauty Brand Marketing Manager,Marketing & Communications,$52k–$85k,52,Marketing managers,80,28
Immigrant Rights Attorney,Social Impact & Nonprofit,$45k–$75k,45,Lawyers,73,28
Influencer Marketing Manager,Marketing & Communications,$52k–$85k,52,Marketing managers,80,28
Legal Aid Attorney,Social Impact & Nonprofit,$45k–$75k,45,Lawyers,73,28
Lab Animal Veterinarian,Science & Research,$45k–$75k,45,Veterinarians,70,25
Nurse Midwife,Healthcare & Medicine,$70k–$115k,70,Nurse practitioners,95,25
Sports Marketing Manager,Marketing & Communications,$55k–$110k,55,Marketing managers,80,25
Fashion Public Relations Manager,Marketing & Communications,$50k–$85k,50,Public relations managers,73,23
Nonprofit Attorney,Law & Government,$50k–$85k,50,Lawyers,73,23
Nonprofit Law Attorney,Law & Government,$50k–$85k,50,Lawyers,73,23
Social Justice Lawyer,Social Impact & Nonprofit,$50k–$85k,50,Lawyers,73,23
Certified Nurse Midwife,Healthcare & Medicine,$75k–$120k,75,Nurse practitioners,95,20
Cosmetic Dentist,Fashion & Beauty,$70k–$150k,70,Dentists,90,20
Child Advocacy Attorney,Law & Government,$55k–$95k,55,Lawyers,73,18
Nonprofit Legal Counsel,Law & Government,$55k–$95k,55,Lawyers,73,18
Public Relations Manager,Media & Journalism,$55k–$95k,55,Public relations managers,73,18
Social Justice Attorney,Social Impact & Nonprofit,$55k–$95k,55,Lawyers,73,18
Luxury Brand Marketing Manager,Fashion & Beauty,$65k–$120k,65,Marketing managers,80,15
Team Physician,Sports & Fitness,$85k–$175k,85,Physicians and surgeons,100,15
Tech Product Marketing Manager,Tech & Engineering,$65k–$120k,65,Marketing managers,80,15
Veterinary Dentist,Healthcare & Medicine,$75k–$120k,75,Dentists,90,15
Veterinary Surgeon,Healthcare & Medicine,$85k–$150k,85,Physicians and surgeons,100,15
Wildlife Veterinarian,Environment & Sustainability,$55k–$95k,55,Veterinarians,70,15
Animal Rights Attorney,Law & Government,$60k–$120k,60,Lawyers,73,13
Immigration Attorney,Social Impact & Nonprofit,$60k–$130k,60,Lawyers,73,13
Immigration Lawyer,Law & Government,$60k–$130k,60,Lawyers,73,13
Legislative Staff Attorney,Law & Government,$60k–$95k,60,Lawyers,73,13
Municipal Attorney,Law & Government,$60k–$105k,60,Lawyers,73,13
Nonprofit Counsel,Social Impact & Nonprofit,$60k–$95k,60,Lawyers,73,13
Prosecutor (District Attorney),Law & Government,$60k–$110k,60,Lawyers,73,13
