career,industry,listed_salary,floor_k,ceil_k,issue
Hedge Fund Manager,Business & Finance,$0–$500k+,0,500,zero floor
License Plate Recognition Startup Founder,Cybersecurity,$0–$500k+,0,500,zero floor
AI SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI Tool SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI Tool Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI Tools SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI-Powered SaaS Entrepreneur,Entrepreneurship,$0–$500k+,0,500,zero floor
AI-Powered SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI-Powered Tools SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
AI/ML Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Angel Investor,Entrepreneurship,$0–$500k+ (returns vary),0,500,zero floor
Artificial Intelligence Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
B2B SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Bootstrapped Business Owner,Entrepreneurship,$0–$500k+,0,500,zero floor
Climate Fintech Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Deep Tech Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Edtech Platform Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Fintech Alternative Lending Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Fintech Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Fintech Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Founder (SaaS Startup),Entrepreneurship,$0–$500k+,0,500,zero floor
Gig Economy Platform Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Health Tech SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
HealthTech Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Healthcare IT Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Impact Venture Capitalist,Entrepreneurship,$0–$500k+,0,500,zero floor
Impact-Driven Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Influencer Brand Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
License Plate Recognition Software Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Marketplace Aggregator Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Marketplace Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Mobile App Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Niche SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Product-Based Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Recruitment Tech Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Accounting Software Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Entrepreneur,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Founder (Vertical),Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Product Entrepreneur,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Product Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Productivity App Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
SaaS Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Serial Entrepreneur,Entrepreneurship,$0–$500k+,0,500,zero floor
Social Media App Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Social Media Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Startup Founder (Tech Hardware),Entrepreneurship,$0–$500k+,0,500,zero floor
Tech Entrepreneur,Entrepreneurship,$0–$500k+,0,500,zero floor
Tech Product Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Tech Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Tech Venture Capitalist,Entrepreneurship,$0–$500k+,0,500,zero floor
Venture Capital Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Venture Capital Partner,Entrepreneurship,$0–$500k+,0,500,zero floor
Vertical SaaS Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Web3 Startup Founder,Entrepreneurship,$0–$500k+,0,500,zero floor
Biotech Startup Founder,Environment & Sustainability,$0–$500k+,0,500,zero floor
Cardiothoracic Surgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Neuroradiologist,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Neurosurgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Orthopaedic Surgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
Orthopedic Surgeon,Healthcare & Medicine,$0–$500k+,0,500,zero floor
