rarity_score,shared_title_terms,desc_similarity,career_a,primary_a,secondary_a,career_b,primary_b,secondary_b,salary_a,salary_b
30.07,english esl language second teacher,0.276,English as Second Language (ESL) Teacher,Education & Coaching,"Social Impact & Nonprofit,Media & Journalism",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$65k,$35k–$65k
30.07,english esl language second teacher,0.2,ESL Teacher (English as Second Language),Education & Coaching,"Social Impact & Nonprofit,Business & Finance",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$65k,$35k–$65k
27.49,license plate recognition startup,0.205,License Plate Recognition Software Startup Founder,Entrepreneurship,"Tech & Engineering,Business & Finance",License Plate Recognition Startup Founder,Cybersecurity,"Tech & Engineering,Law & Government,Science & Research",$0–$500k+,$0–$500k+
25.43,english esl language second,0.118,English as a Second Language (ESL) Instructor,Education & Coaching,"Social Impact & Nonprofit,Business & Finance",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$65k,$35k–$65k
25.43,english esl language second,0.393,ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",ESL (English as Second Language) Instructor,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Architecture & Urban Planning",$35k–$65k,$35k–$65k
23.82,content creator tiktok youtube,0.194,Content Creator (YouTube/TikTok),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Beauty Content Creator (TikTok/YouTube),Fashion & Beauty,"Entrepreneurship,Media & Journalism",$30k–$200k+,$20k–$150k
22.82,english esl language teacher,0.111,English Language Learner (ESL) Teacher,Education & Coaching,"Social Impact & Nonprofit,Business & Finance",ESL (English as Second Language) Teacher,Environment & Sustainability,"Science & Research,Law & Government,Architecture & Urban Planning",$35k–$65k,$35k–$65k
22.1,athletic college high school,0.026,Athletic Director (High School/College),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Athletic Trainer (High School/College),Sports & Fitness,"Healthcare & Medicine,Education & Coaching",$45k–$85k,$35k–$65k
21.41,app developer indie mobile,0.4,Mobile App Developer (Indie),Marketing & Communications,"Business & Finance,Design & Creative,Architecture & Urban Planning",Mobile App Indie Developer,Entrepreneurship,"Tech & Engineering,Design & Creative",$20k–$150k,$20k–$150k
20.84,bureau convention visitors,0.292,Convention & Visitors Bureau Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Convention and Visitors Bureau Director,Hospitality & Events,"Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
20.84,bureau convention visitors,0.333,Convention & Visitors Bureau Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Convention & Visitors Bureau Manager,Hospitality & Events,"Business & Finance,Law & Government",$45k–$75k,$45k–$75k
20.56,bureau convention visitor,0.2,Convention and Visitor Bureau Manager,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Convention & Visitor Bureau Manager,Hospitality & Events,"Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
20.56,bureau convention visitor,0.138,Convention and Visitor Bureau Manager,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Convention & Visitor Bureau Director,Hospitality & Events,"Business & Finance,Media & Journalism",$45k–$75k,$45k–$75k
20.26,aid humanitarian worker,0.226,International Humanitarian Aid Worker,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",Humanitarian Aid Worker,Social Impact & Nonprofit,"Healthcare & Medicine,Law & Government",$35k–$65k,$35k–$65k
19.57,goods handmade seller,0.346,Handmade Goods Seller (Etsy/Amazon),Entrepreneurship,"Design & Creative,Business & Finance",Handmade Goods Seller,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",$25k–$80k,$25k–$80k
19.57,goods handmade seller,0.346,Handmade Goods Seller (Marketplace),Entrepreneurship,"Design & Creative,Business & Finance",Handmade Goods Seller,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",$25k–$80k,$25k–$80k
19.38,human prevention trafficking,0.273,Human Trafficking Prevention Specialist,Social Impact & Nonprofit,"Law & Government,Healthcare & Medicine",Human Trafficking Prevention Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Cybersecurity",$42k–$65k,$40k–$65k
19.34,checker digital fact media,0.28,Fact Checker (Digital Media),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Fact-Checker (Digital Media),Media & Journalism,"Tech & Engineering,Law & Government",$45k–$75k,$45k–$75k
18.78,humanitarian international worker,0.118,International Humanitarian Aid Worker,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",International Humanitarian Worker,Social Impact & Nonprofit,"Education & Coaching,Law & Government",$35k–$65k,$40k–$65k
18.78,aid international worker,0.094,International Humanitarian Aid Worker,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",International Aid Worker,Social Impact & Nonprofit,"Healthcare & Medicine,Education & Coaching",$35k–$65k,$40k–$65k
18.69,operations park theme,0.739,Theme Park Operations Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Theme Park Operations Director,Hospitality & Events,"Business & Finance,Entrepreneurship",$48k–$77k,$50k–$85k
18.56,documentation technical writer,0.409,Technical Writer (Documentation),Science & Research,"Healthcare & Medicine,Tech & Engineering",Technical Writer (Software Documentation),Media & Journalism,"Tech & Engineering,Education & Coaching",$55k–$85k,$55k–$85k
18.54,based community faith,0.067,Faith-Based Community Outreach Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Faith-Based Community Organizer,Social Impact & Nonprofit,"Law & Government,Education & Coaching",$38k–$58k,$35k–$60k
18.45,carbon offset project,0.281,Carbon Offset Project Developer,Environment & Sustainability,"Science & Research,Business & Finance",Carbon Offset Project Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",$60k–$95k,$58k–$95k
17.75,elementary school teacher,0.054,Elementary School Teacher (STEM),Education & Coaching,"Science & Research,Design & Creative",Elementary School Teacher,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",$42k–$65k,$42k–$65k
17.75,elementary school teacher,0.051,Elementary School Teacher,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Elementary School Teacher (Science),Education & Coaching,"Science & Research,Social Impact & Nonprofit",$42k–$65k,$42k–$70k
17.72,entrepreneur influencer media social,0.407,Social Media Influencer Entrepreneur,Marketing & Communications,"Business & Finance,Design & Creative,Media & Journalism",Social Media Entrepreneur (Influencer),Entrepreneurship,"Design & Creative,Media & Journalism",$0–$500k+,$30k–$200k+
17.55,disabilities learning tutor,0.333,Tutor for Students with Learning Disabilities,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Architecture & Urban Planning",Tutor for Learning Disabilities,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",$30k–$55k,$30k–$55k
17.55,disabilities learning tutor,0.233,Tutor for Learning Disabilities,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Tutor (Specialized Learning Disabilities),Education & Coaching,"Healthcare & Medicine,Social Impact & Nonprofit",$30k–$55k,$35k–$65k
