id,career,pattern,old_code,old_occupation,new_code,new_occupation,reason
019ce137-ef4f-444c-a80e-d7b894b6eaac,Wig and Hair Technician,beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
050fff3b-0795-4031-afee-95e5141b0a5b,Wig & Hair Prosthetics Specialist,beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
0aec8bfe-c070-4005-acdd-f7340dcac998,Personal Stylist (Virtual),beauty,39-5092.00,Manicurists and Pedicurists,39-9099.00,"Personal Care and Service Workers, All Other",personal styling/image consulting has no dedicated occupation
1371c03b-7729-49ef-903b-352cb6c9a6e9,Wig Specialist (Theater/Film),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
14d34357-f40b-4b89-a3be-5842f9a2221e,Virtual Fashion Stylist,beauty,39-5092.00,Manicurists and Pedicurists,39-9099.00,"Personal Care and Service Workers, All Other",personal styling/image consulting has no dedicated occupation
17a3b0a6-ff37-499f-8503-0b6e421894c1,Wig Specialist (Theater & Film),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
1952201a-54e5-4625-b3de-b173f473453f,Wig Specialist (Theatrical/Medical),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
1d2c7692-2aba-4258-baca-91f115ba5f5e,Personal Image Consultant,beauty,39-5092.00,Manicurists and Pedicurists,39-9099.00,"Personal Care and Service Workers, All Other",personal styling/image consulting has no dedicated occupation
1f26e7fb-8d15-421d-b557-b4b398efafca,Wig Specialist (Hair Prosthetics),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
2348c2f9-379b-4471-bd16-ba06c54a1b84,Wig Designer (Healthcare),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
261ac87d-74eb-49ec-947b-47e7956c80f4,Wig Stylist & Designer,beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
2ad02645-0935-4c76-a48d-84a9bf321171,Wig and Hair Specialist (Medical),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
2bb9210a-9a3b-479d-9f4c-8592f1bd661a,Wig Specialist,beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
2be4b459-6bf9-4659-9a1b-f5afe6bc8ac3,Wig Designer (Medical & Fashion),beauty,39-5092.00,Manicurists and Pedicurists,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",wig and hair work belongs with hairdressers/cosmetologists
