id,career,pattern,old_code,old_occupation,new_code,new_occupation,reason
008b8d6a-1a1a-496f-8845-be82b51d4a1a,AI Automation Consultant Entrepreneur,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
03db3738-9574-4c4b-ac62-c0e17bbefffe,Hospitality Sustainability Manager,executive-catch-all,11-1011.00,Chief Executives,13-1199.05,Sustainability Specialists,sustainability specialist rather than chief sustainability officer
04ccb968-39d4-4268-99fe-5d0095518090,Online Community Platform Founder,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
096f77f7-d755-434d-874c-75ed247a4e0e,Waste Reduction Coordinator (Corporate),executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
09f444b7-806b-4aec-b47b-9bfbdbfc13c6,Corporate Sustainability Officer,executive-catch-all,11-1011.00,Chief Executives,13-1199.05,Sustainability Specialists,sustainability specialist rather than chief sustainability officer
0a28107e-ad56-4090-a44f-f34a85f78a58,Environmental Justice Nonprofit Director,executive-catch-all,11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,nonprofit/board/community management
0afd2926-cf24-45d4-ab79-52e3a4e6fec1,Revenue Operations Manager,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
0d227d9e-9b8a-40f4-bf7d-61a3bed616f4,Membership Site Creator,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
0fd5b7c9-c53e-460f-8186-fbcac36f6ede,Ballet Company Manager,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
18a30072-18d6-4c12-912c-1b8f8c1e2583,Social Media App Founder,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
1a9a4ecc-342e-47e7-ab4d-eb37119da7be,Influencer Talent Manager,executive-catch-all,11-1011.03,Chief Sustainability Officers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",agent/business manager for performers or athletes
1af77015-cdfc-42c7-93ac-fc3ec20e592d,Nonprofit Board Secretary,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-9151.00,Social and Community Service Managers,nonprofit/board/community management
1c70b047-8638-4e29-96eb-522795307597,Technical Program Manager,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
1dc62146-55ef-4a8b-9c45-87ba5594b65e,Faith-Based Organization Director,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
1e78b99b-fa37-4558-91a4-a5c5f622b659,Licensed Cannabis Operator,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
1f59c7cc-9d03-4e95-94d2-d4eb0bc8df8c,Business Incubator Director,executive-catch-all,11-1011.03,Chief Sustainability Officers,13-1111.00,Management Analysts,management consulting/analysis
1f8640d6-e4b0-4a33-aa69-33cff405dd1a,Home-Based Coaching Business Owner,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
234e11bc-f832-497b-a56e-dbe046488845,City Councilmember,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1031.00,Legislators,elected legislative role
2449d955-7e9b-41e7-a6c8-b171f1fae8fe,Wellness Retreat Operator,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
27550afd-1f0d-4c67-91e8-da5034a9ad76,Sustainability Officer,executive-catch-all,11-1011.00,Chief Executives,13-1199.05,Sustainability Specialists,sustainability specialist rather than chief sustainability officer
281d73ad-a0ea-4df9-b154-3b180cb85ff1,Diversity and Inclusion Officer (Nonprofit),executive-catch-all,11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,nonprofit/board/community management
284f7c3f-cc74-4fb2-a6ac-6c6dad0ba0a9,Concept Developer (Product Innovation),executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
2902868c-0c58-4fea-afd1-70b0a82053aa,Social Enterprise Manager,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
29f5433e-8822-4602-82c3-fd1ed81db80d,Global Health Coordinator,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
2a864eca-5a39-48a1-8a67-52e145fc692e,Nonprofit Program Director,executive-catch-all,11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,nonprofit/board/community management
2be7f121-c4b2-4a16-9f97-ec984f93a307,Nonprofit Board Development Director,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-9151.00,Social and Community Service Managers,nonprofit/board/community management
2be97eed-459e-4d62-ac87-123c8b3aa029,Government Legislative Aide,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
2e08ea9e-9fbb-4c86-8535-d8b4e62aeb97,Venture Capital Founder,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
2fc73e5c-35f9-4eb7-ba73-62c11fa9b4ca,Real Estate Flipping Entrepreneur,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,"founder/owner, but not a sustainability executive"
303795f8-d7b2-475e-9410-a72a3b5046e6,Gig Economy Platform Operator,executive-catch-all,11-1011.03,Chief Sustainability Officers,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
316cd183-57c3-41be-a748-23b98b6e2286,Creator Economy Consultant,executive-catch-all,11-1011.00,Chief Executives,13-1111.00,Management Analysts,management consulting/analysis
3313a855-b5a8-4856-929b-01851a189cae,Regulatory Affairs Specialist,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
340cb3cf-627f-41b0-ba47-eaf667d3e87c,Regulatory Affairs Manager (FDA),executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
364ed3d3-e7b1-4eda-939d-ca57663a7775,Community Relations Officer (Government),executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
37f5392c-0930-4c83-92db-99d22bf65291,Policy Advocate (Social Justice),executive-catch-all,11-1011.00,Chief Executives,11-2032.00,Public Relations Managers,government affairs is public relations/advocacy management
384ca429-ff8e-4203-a1e2-02b5d0f245e7,API Marketplace Creator,executive-catch-all,11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,general/operations management rather than chief executive
